lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
10,0,23,6,1,3,23,6,0
3,7,24,3,3,6,25,3,0
6,4,21,6,6,4,18,7,0
21,9,1,20,18,10,1,20,0
6,10,21,6,6,10,18,7,0
6,4,24,1,6,3,25,1,0
6,7,10,18,6,7,1,21,0
1,21,11,18,0,22,11,18,0
21,6,9,19,21,6,0,22,0
1,11,7,18,1,11,6,19,0
7,3,3,24,6,4,3,24,0
1,21,5,18,0,22,5,18,0
1,21,20,1,0,22,20,1,0
7,3,6,21,7,0,7,21,0
24,3,1,19,24,0,4,19,0
7,9,18,21,7,0,21,21,0
1,21,21,2,1,21,18,5,0
7,9,6,19,7,0,15,19,0
7,9,1,24,7,9,0,25,0
1,20,21,3,1,20,18,4,0
4,18,2,7,3,19,2,7,0
24,1,3,21,24,0,4,21,0
1,21,21,2,0,22,21,2,0
24,1,3,19,24,1,0,22,0
10,6,18,19,1,15,18,19,0
10,6,18,7,9,7,18,7,0
7,6,1,21,7,6,0,22,0
9,7,24,1,0,16,24,1,0
7,3,18,7,6,4,18,7,0
7,6,1,21,6,7,1,21,0
9,7,19,18,9,7,18,19,0
21,3,1,8,21,0,4,8,0
9,7,21,18,9,6,22,18,0
4,18,3,20,1,19,3,20,0
21,3,1,8,18,4,1,8,0
10,6,1,24,10,6,0,25,0
10,6,3,24,9,7,3,24,0
3,15,7,18,0,16,7,18,0
9,7,19,6,9,7,18,7,0
10,6,6,19,1,15,6,19,0
9,7,21,6,9,7,18,7,0
6,10,19,18,6,1,22,18,0
4,0,17,18,3,1,17,18,0
4,0,23,18,3,1,23,18,0
4,0,23,18,4,0,20,21,0
3,7,21,18,3,7,18,21,0
1,12,20,6,1,9,23,6,0
1,10,24,18,1,9,25,18,0
4,9,18,20,1,10,18,20,0
3,10,20,18,3,1,23,18,0
10,3,2,24,10,0,5,24,0
21,0,22,6,18,1,22,6,0
10,18,1,24,10,18,0,25,0
12,1,18,20,9,4,18,20,0
21,1,18,7,18,4,18,7,0
18,21,4,6,18,21,1,7,0
19,3,1,24,18,4,1,24,0
12,1,18,20,12,0,19,20,0
21,1,6,19,18,4,6,19,0
3,19,7,6,0,22,7,6,0
12,0,25,6,9,1,25,6,0
3,21,19,18,3,21,18,19,0
3,21,19,6,0,22,19,6,0
4,18,1,24,1,21,1,24,0
4,0,25,18,1,3,25,18,0
21,1,1,24,21,1,0,25,0
21,1,18,19,21,0,19,19,0
1,12,8,18,1,3,17,18,0
1,5,15,18,1,2,16,18,0
18,4,24,1,18,3,25,1,0
3,22,0,8,3,21,1,8,1
10,18,6,7,9,19,6,7,1
19,1,3,8,19,0,4,8,1
1,14,0,24,1,5,9,24,1
1,15,21,6,1,15,18,7,1
10,6,3,24,10,6,0,25,1
4,18,3,20,3,19,3,20,1
21,0,25,3,18,1,25,3,1
